country,latitude,longitude
China,35.8617,104.1954
India,20.5937,78.9629
Canada,56.1304,-106.3468
South Korea,35.9078,127.7669
France,46.2276,2.2137
Germany,51.1657,10.4515
Singapore,1.3521,103.8198
United Kingdom,55.3781,-3.4360
Brazil,-14.2350,-51.9253
Taiwan,23.6978,120.9605
Spain,40.4637,-3.7492
Italy,41.8719,12.5674
Japan,36.2048,138.2529
Mexico,23.6345,-102.5528
Thailand,15.8700,100.9925
Turkey,38.9637,35.2433
Greece,39.0742,21.8243
Iran,32.4279,53.6880
Russia,61.5240,105.3188
Australia,-25.2744,133.7751
Chile,-35.6751,-71.5430
Saudi Arabia,23.8859,45.0792
Pakistan,30.3753,69.3451
Argentina,-38.4161,-63.6167
Switzerland,46.8182,8.2275
Malaysia,4.2105,101.9758
Netherlands,52.1326,5.2913
Egypt,26.8206,30.8025
Lebanon,33.8547,35.8623
Vietnam,14.0583,108.2772
Poland,51.9194,19.1451
Romania,45.9432,24.9668
Bangladesh,23.6850,90.3563
Ireland,53.4129,-8.2439
Norway,60.4720,8.4689
Indonesia,-0.7893,113.9213
South Africa,-30.5595,22.9375
Belgium,50.5039,4.4699
Denmark,56.2639,9.5018
New Zealand,-40.9006,174.8860
Kazakhstan,48.0196,66.9237
Nigeria,9.0820,8.6753
Sweden,60.1282,18.6435
Ukraine,48.3794,31.1656
Austria,47.5162,14.5501
Morocco,31.7917,-7.0926
Peru,-9.1900,-75.0152
Bulgaria,42.7339,25.4858
Nepal,28.3949,84.1240
Hong Kong,22.3193,114.1694
Costa Rica,9.7489,-83.7534
Ghana,7.9465,-1.0232
Hungary,47.1625,19.5033
Kenya,-0.0236,37.9062
Venezuela,6.4238,-66.5897
Serbia,44.0165,21.0059
Armenia,40.0691,45.0382
United States,37.0902,-95.7129
Finland,61.9241,25.7482
Palestine,31.9522,35.2332
Jordan,30.5852,36.2384
Azerbaijan,40.1431,47.5769
Moldova,47.4116,28.3699
United Arab Emirates,23.4241,53.8478
Qatar,25.3548,51.1839
Kuwait,29.3117,47.4818
Oman,21.4735,55.9754
Bahrain,26.0667,50.5577
Iraq,33.2232,43.6793
Syria,34.8021,38.9968
Yemen,15.5527,48.5164
Portugal,39.3999,-8.2245
Croatia,45.1000,15.2000
Lithuania,55.1694,23.8813
Latvia,56.8796,24.6032
Estonia,58.5953,25.0136
Sri Lanka,7.8731,80.7718
Philippines,12.8797,121.7740
Algeria,28.0339,1.6596
Ethiopia,9.1450,40.4897
Tanzania,-6.3690,34.8888
Zimbabwe,-19.0154,29.1549
